ansi,name,count,lake_ha,county_ha,%*10000
06001,Alameda,32,1583,212596,74
06003,Alpine,324,587,191929,31
06005,Amador,156,2334,156947,149
06007,Butte,47,8494,434334,196
06009,Calaveras,43,6012,268242,224
06011,Colusa,4,724,299622,24
06013,Contra Costa,17,2582,208016,124
06015,Del Norte,2,1039,262628,40
06017,El Dorado,492,18274,463344,394
06019,Fresno,1211,5516,1556586,35
06021,Glenn,10,1670,343632,49
06023,Humboldt,13,955,928338,10
06025,Imperial,28,77933,1160824,671
06027,Inyo,607,1803,2649299,7
06029,Kern,13,717,2114205,3
06031,Kings,1,7,360495,0
06033,Lake,18,18682,344322,543
06035,Lassen,304,7292,1222738,60
06037,Los Angeles,44,3696,1057313,35
06039,Madera,275,2933,557485,53
06041,Marin,23,1102,153240,72
06043,Mariposa,7,2560,378627,68
06045,Mendocino,6,760,909757,8
06047,Merced,36,7005,512183,137
06049,Modoc,104,45132,1088488,415
06051,Mono,626,20287,810871,250
06053,Monterey,8,2280,858427,27
06055,Napa,12,8338,204713,407
06057,Nevada,551,1549,252464,61
06059,Orange,17,528,206276,26
06061,Placer,199,23343,388514,601
06063,Plumas,363,12504,676921,185
06065,Riverside,15,23801,1891067,126
06067,Sacramento,43,1380,257412,54
06069,San Benito,8,528,359931,15
06071,San Bernardino,18,5546,5207469,11
06073,San Diego,30,4072,1097587,37
06075,San Francisco,1,38,27790,14
06077,San Joaquin,16,912,369315,25
06079,San Luis Obispo,21,4279,859665,50
06081,San Mateo,15,953,143037,67
06083,Santa Barbara,8,1891,711531,27
06085,Santa Clara,31,1912,338006,57
06087,Santa Cruz,5,251,115624,22
06089,Shasta,91,15282,997644,153
06091,Sierra,97,192,249010,8
06093,Siskiyou,353,9146,1643940,56
06095,Solano,16,266,235677,11
06097,Sonoma,6,1173,415244,28
06099,Stanislaus,24,3120,392615,79
06101,Sutter,4,49,157548,3
06103,Tehama,7,777,766040,10
06105,Trinity,134,7131,830725,86
06107,Tulare,11,1906,1254257,15
06109,Tuolumne,731,8132,589893,138
06111,Ventura,7,1681,480709,35
06113,Yolo,5,131,264442,5
06115,Yuba,9,2598,166738,156
